[0/200] [274 steps] [state (22, 25)] [goal (105, 178)] [h_dist 236]
[0/200] [275 steps] [state (22, 26)] [goal (105, 178)] [h_dist 235]
[0/200] [276 steps] [state (22, 27)] [goal (105, 178)] [h_dist 234]
[0/200] [277 steps] [state (23, 27)] [goal (105, 178)] [h_dist 233]
[0/200] [278 steps] [state (23, 28)] [goal (105, 178)] [h_dist 232]
[0/200] [279 steps] [state (24, 28)] [goal (105, 178)] [h_dist 231]
[0/200] [280 steps] [state (24, 27)] [goal (105, 178)] [h_dist 232]
[0/200] [281 steps] [state (25, 27)] [goal (105, 178)] [h_dist 231]
[0/200] [282 steps] [state (25, 26)] [goal (105, 178)] [h_dist 232]
[0/200] [283 steps] [state (24, 26)] [goal (105, 178)] [h_dist 233]
[0/200] [284 steps] [state (24, 27)] [goal (105, 178)] [h_dist 232]
[0/200] [285 steps] [state (25, 27)] [goal (105, 178)] [h_dist 231]
[0/200] [286 steps] [state (25, 27)] [goal (105, 178)] [h_dist 231]
[0/200] [287 steps] [state (25, 28)] [goal (105, 178)] [h_dist 230]
[0/200] [288 steps] [state (25, 27)] [goal (105, 178)] [h_dist 231]
[0/200] [289 steps] [state (25, 28)] [goal (105, 178)] [h_dist 230]
[0/200] [290 steps] [state (25, 29)] [goal (105, 178)] [h_dist 229]
[0/200] [291 steps] [state (25, 29)] [goal (105, 178)] [h_dist 229]
[0/200] [292 steps] [state (25, 29)] [goal (105, 178)] [h_dist 229]
[0/200] [293 steps] [state (25, 29)] [goal (105, 178)] [h_dist 229]
[0/200] [294 steps] [state (25, 28)] [goal (105, 178)] [h_dist 230]
[0/200] [295 steps] [state (25, 29)] [goal (105, 178)] [h_dist 229]
[0/200] [296 steps] [state (25, 29)] [goal (105, 178)] [h_dist 229]
[0/200] [297 steps] [state (25, 29)] [goal (105, 178)] [h_dist 229]
[0/200] [298 steps] [state (25, 29)] [goal (105, 178)] [h_dist 229]
[0/200] [299 steps] [state (25, 29)] [goal (105, 178)] [h_dist 229]
[0/200] [300 steps] [state (25, 28)] [goal (105, 178)] [h_dist 230]
[0/200] [301 steps] [state (24, 28)] [goal (105, 178)] [h_dist 231]
[0/200] [302 steps] [state (24, 29)] [goal (105, 178)] [h_dist 230]
[0/200] [303 steps] [state (24, 30)] [goal (105, 178)] [h_dist 229]
[0/200] [304 steps] [state (24, 29)] [goal (105, 178)] [h_dist 230]
[0/200] [305 steps] [state (23, 29)] [goal (105, 178)] [h_dist 231]
[0/200] [306 steps] [state (24, 29)] [goal (105, 178)] [h_dist 230]
[0/200] [307 steps] [state (23, 29)] [goal (105, 178)] [h_dist 231]
[0/200] [308 steps] [state (23, 28)] [goal (105, 178)] [h_dist 232]
[0/200] [309 steps] [state (23, 27)] [goal (105, 178)] [h_dist 233]
[0/200] [310 steps] [state (23, 28)] [goal (105, 178)] [h_dist 232]
[0/200] [311 steps] [state (23, 29)] [goal (105, 178)] [h_dist 231]
[0/200] [312 steps] [state (22, 29)] [goal (105, 178)] [h_dist 232]
[0/200] [313 steps] [state (21, 29)] [goal (105, 178)] [h_dist 233]
[0/200] [314 steps] [state (20, 29)] [goal (105, 178)] [h_dist 234]
[0/200] [315 steps] [state (20, 30)] [goal (105, 178)] [h_dist 233]
[0/200] [316 steps] [state (20, 31)] [goal (105, 178)] [h_dist 232]
[0/200] [317 steps] [state (21, 31)] [goal (105, 178)] [h_dist 231]
[0/200] [318 steps] [state (21, 32)] [goal (105, 178)] [h_dist 230]
[0/200] [319 steps] [state (22, 32)] [goal (105, 178)] [h_dist 229]
[0/200] [320 steps] [state (21, 32)] [goal (105, 178)] [h_dist 230]
[0/200] [321 steps] [state (21, 33)] [goal (105, 178)] [h_dist 229]
[0/200] [322 steps] [state (21, 32)] [goal (105, 178)] [h_dist 230]
[0/200] [323 steps] [state (20, 32)] [goal (105, 178)] [h_dist 231]
[0/200] [324 steps] [state (19, 32)] [goal (105, 178)] [h_dist 232]
[0/200] [325 steps] [state (18, 32)] [goal (105, 178)] [h_dist 233]
[0/200] [326 steps] [state (18, 31)] [goal (105, 178)] [h_dist 234]
[0/200] [327 steps] [state (18, 32)] [goal (105, 178)] [h_dist 233]
[0/200] [328 steps] [state (18, 31)] [goal (105, 178)] [h_dist 234]
[0/200] [329 steps] [state (19, 31)] [goal (105, 178)] [h_dist 233]
[0/200] [330 steps] [state (19, 30)] [goal (105, 178)] [h_dist 234]
[0/200] [331 steps] [state (19, 29)] [goal (105, 178)] [h_dist 235]
[0/200] [332 steps] [state (20, 29)] [goal (105, 178)] [h_dist 234]
[0/200] [333 steps] [state (20, 28)] [goal (105, 178)] [h_dist 235]
[0/200] [334 steps] [state (21, 28)] [goal (105, 178)] [h_dist 234]
[0/200] [335 steps] [state (21, 29)] [goal (105, 178)] [h_dist 233]
[0/200] [336 steps] [state (22, 29)] [goal (105, 178)] [h_dist 232]
[0/200] [337 steps] [state (22, 30)] [goal (105, 178)] [h_dist 231]
[0/200] [338 steps] [state (21, 30)] [goal (105, 178)] [h_dist 232]
[0/200] [339 steps] [state (20, 30)] [goal (105, 178)] [h_dist 233]
[0/200] [340 steps] [state (19, 30)] [goal (105, 178)] [h_dist 234]
[0/200] [341 steps] [state (18, 30)] [goal (105, 178)] [h_dist 235]
[0/200] [342 steps] [state (18, 31)] [goal (105, 178)] [h_dist 234]
[0/200] [343 steps] [state (18, 32)] [goal (105, 178)] [h_dist 233]
[0/200] [344 steps] [state (19, 32)] [goal (105, 178)] [h_dist 232]
[0/200] [345 steps] [state (20, 32)] [goal (105, 178)] [h_dist 231]
